,Unnamed: 0,created_at,id,text,classification,score
14,14,2022-07-08T00:15:23.000Z,1545199835204263938,@AmericanAir Even worst they promised me to pay for my hotel and accommodations.Which is why I rebook my 3hr flight for an 11hr one. I got no credit of any kind.The customer service representative was rude and unprofessional.Wouldn’t tell me her name or transfer me to her manager,Negative,0.9427761435508728
15,15,2022-07-08T00:13:56.000Z,1545199470333366274,"RT @ABFF: Throughout the year, a collection of short films curated from ABFF will be available on all @AmericanAir flights, where they can…",Neutral,0.5071227550506592
16,16,2022-07-08T00:13:28.000Z,1545199350824960001,@S_dF @AmericanAir Good to hear. I’m booking plane tickets tomorrow for an upcoming trip,Positive,0.7520506381988525
17,17,2022-07-08T00:10:48.000Z,1545198679736426497,hey why did u steal my airpods @AmericanAir,Negative,0.8734390139579773
18,18,2022-07-08T00:10:44.000Z,1545198661872881666,@EddieLampkin25 @AmericanAir Same here. No refund no vouchers and then we had to pay extra for the seats we did get the next day #AmericanAirlines #badcustomerservice sucks,Negative,0.9368237257003784
19,19,2022-07-08T00:10:41.000Z,1545198652943114240,@fly2ohare @AmericanAir https://t.co/tuX9ZgWxox https://t.co/XQ4omd8EWj,Neutral,0.7855734825134277
20,20,2022-07-08T00:10:08.000Z,1545198512031375362,"@AmericanAir You lose our bags, cost us over $1,000 in losses as a result and your teams just pass us back and forth saying nothing can be done except covering taxi fare? Not how you should treat customers purchasing business/first class international flights with you.",Negative,0.9485400319099426
21,21,2022-07-08T00:09:48.000Z,1545198428069806081,"Hey @AmericanAir why did you cancel my flight with no notification to me? No email, no text, no call. You just cancelled my flight.

I'm supposed to be flying across the country in 12 hours. What the fuck?",Negative,0.9228071570396423
22,22,2022-07-08T00:07:42.000Z,1545197901743378432,"@fly2ohare How long exactly is this @USCustomsandBo1 line?? There are no bathrooms, no water fountain, no employees directing traffic. Many people will be missing their connections tonight. @AmericanAir?!",Negative,0.8535069823265076
23,23,2022-07-08T00:07:41.000Z,1545197896471027712,"FEC records tell us @AmericanAir's political donations to insurrectionist candidates post 1/6 totaled $120,000. See who got $ #DonationsAgainstDemocracy https://t.co/WHjp9I2cev",Neutral,0.7750343680381775
24,24,2022-07-08T00:06:23.000Z,1545197567675334658,"#AmericanAirlines delayed our flt 3x’s until we would miss connection,next avail flt wasn’t until the next day. No vouchers for our extra night stay or compensation for our downgraded first class to coach tickets @AmericanAir thanks for the shitty customer service",Negative,0.9403169751167297
25,25,2022-07-08T00:05:45.000Z,1545197411135537157,@AmericanAir American Airlines is a horrible company. They canceled my flight in July 1st because of this. They have the nerve to say it was first  because of bad weather when on that day both the departing city NYC and  arrival city OKC had beautiful clear skies.,Negative,0.9603947997093201
26,26,2022-07-08T00:05:35.000Z,1545197368693338112,@AmericanAir Sent it to you in a DM,Neutral,0.8526365756988525
27,27,2022-07-08T00:05:09.000Z,1545197256969973760,Want your blood pressure to rise? Talk to an @AmericanAir customer service rep. Absolutely atrocious customer service.,Negative,0.9426984786987305
28,28,2022-07-08T00:04:07.000Z,1545196996591583232,@Chris_Chmura @AmericanAir @flySFO In Dallas. Guess what: the jet bridge is broken @AmericanAir https://t.co/kp9syPrD0r,Negative,0.8498539328575134
29,29,2022-07-08T00:02:39.000Z,1545196630986596352,@AmericanAir hey there. AA106 from JFK to LHR is delayed until 9:35pm. Can you say why this is? Will it be pushed back any further as it's been delayed twice already?,Negative,0.5667693614959717
30,30,2022-07-08T00:01:08.000Z,1545196249632194563,"@AltCryptoGems #Spookyshiba This is not a token you’d want to miss out on invest wisely!

DYOR 

https://t.co/NouVTgONUc

Buy via pancakeswap

Buy via Coinsbit 

TG: https://t.co/tl9dlESDRz

@ChinaPumpWhale @ChinaPumpWXC @MrBigWhaleREAL @AmericanAir @binance @WhaleGemsChina @BlushXR @amhaunted https://t.co/b2cdKGiSp9",Neutral,0.5622726678848267
31,31,2022-07-08T00:00:14.000Z,1545196022682587139,@_ZachGriff @AmericanAir Just curious how do you like this first class vs. business on their 787?,Neutral,0.6632474064826965
32,32,2022-07-07T23:59:24.000Z,1545195810576650242,@AmericanAir  y’all suck. https://t.co/8Uu0RjIv9q,Negative,0.9268929958343506
33,33,2022-07-07T23:59:21.000Z,1545195798794739712,@AmericanAir  new pilot today! https://t.co/ZuweJrucBt,Neutral,0.6593632698059082
34,34,2022-07-07T23:58:49.000Z,1545195664321175552,Idk who cancels more @saks or @AmericanAir I’m going with @saks this round,Neutral,0.6344782710075378
35,35,2022-07-07T23:56:13.000Z,1545195009699463168,"RT @Jectormejia: Cada vez más lejos recuperar la categoría 1,  y ahora llevan a un militar a manejar el @AICM_mx  , estado fallido @Gobiern…",Negative,0.9558476805686951
36,36,2022-07-07T23:54:57.000Z,1545194690236104705,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
37,37,2022-07-07T23:53:48.000Z,1545194401441255424,"@Lancegooden For babies afraid of needles? 👶.  Since pilots don't believe in vaccines, then airlines don't need to provide health insurance to them...fair trade? 🤔. 

@Delta @united @AmericanAir",Negative,0.702803373336792
38,38,2022-07-07T23:52:29.000Z,1545194070615724033,@SteveBoehm8 @dadums I will never fly @AmericanAir again after a three-day delay getting home in the middle of a family emergency last month.,Negative,0.8895586133003235
39,39,2022-07-07T23:51:23.000Z,1545193794861137923,@AmericanAir Totally screwed me last month.  Never again.,Negative,0.9421665072441101
40,40,2022-07-07T23:50:20.000Z,1545193529311461382,My wife has to spend the night in Dallas because @AmericanAir is a horrible airline.,Negative,0.9407567977905273
41,41,2022-07-07T23:48:01.000Z,1545192945745362944,"@joncoopertweets Generally, 2 hours before take off.

In a minor miracle I recently flew from LA to Boston. Our 2 legs each left 20-30 minutes EARLY.

Even more stunning, when we got the baggage carousel our luggage was waiting for us.

Thanks @AmericanAir",Positive,0.6966642141342163
42,42,2022-07-07T23:47:28.000Z,1545192808771948545,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
43,43,2022-07-07T23:45:45.000Z,1545192375206699008,@doah78 @AmericanAir Half of his luggage arrived and the plane carrying the other piece of his luggage is now delayed too? Y’all aren’t doing to well with this. https://t.co/6wot9vbsJd,Negative,0.8440858721733093
44,44,2022-07-07T23:44:16.000Z,1545192002752593921,RT @DrEricDing: @eortner @ZachHonig @AmericanAir @SecretaryPete Indeed. Did you guys read this. https://t.co/nnzzeLdj3d,Neutral,0.6308656334877014
45,45,2022-07-07T23:43:32.000Z,1545191818240970752,@AmericanAir fold the franchise bro you guys are COOKED,Negative,0.9150772094726562
46,46,2022-07-07T23:42:27.000Z,1545191545695256576,Hi @AmericanAir it’s been two weeks and my luggage is still somewhere and can’t seem to make it my way :(,Negative,0.8677820563316345
47,47,2022-07-07T23:42:00.000Z,1545191434126381057,@djHeartAttak @AmericanAir They smell money on you 🥸,Negative,0.7047022581100464
48,48,2022-07-07T23:41:01.000Z,1545191185073016832,@_ZachGriff @AmericanAir Any time I see an IFE on an AA flight I’m like “what are those?” 😆,Neutral,0.5238652229309082
49,49,2022-07-07T23:40:13.000Z,1545190984405090304,@JTGenter @RandiTravel @AmericanAir You should not have been subjected to that.,Negative,0.8397124409675598
50,50,2022-07-07T23:37:34.000Z,1545190316348739586,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
51,51,2022-07-07T23:37:22.000Z,1545190268554575875,@AmericanAir you won’t refund my tickets for June 17th that YOU cancelled last minute for my trip to Cozumel?? No one at the airport can talk and no one on the phone to talk to? MAKE IT MAKE SENSE,Negative,0.9329670667648315
52,52,2022-07-07T23:36:52.000Z,1545190140733444097,Just spent 40 minutes on the phone getting an $11.20 refund from @AmericanAir that should’ve been processed automatically. That’s 28 cents a minute for my time. What a sucker am I? https://t.co/nmIO8QZAqD,Negative,0.9450955986976624
53,53,2022-07-07T23:36:51.000Z,1545190136379768833,"@Saurs__ @AmericanAir Make $5(approximately) per day using honeygain. Use the link below and join to get your $5 sign-up bonus.
https://t.co/DbJxi0eRCS",Neutral,0.5867723226547241
54,54,2022-07-07T23:34:37.000Z,1545189574376165376,@AmericanAir selling routes/seats you cannot fulfill is consumer fraud. @SecretaryPete they are defrauding consumers. They left me stranded and will not refund as it has to be reviewed. What? What do YOU plan to do about it? How long can they hold my $ hostage???,Negative,0.9435679912567139
55,55,2022-07-07T23:33:12.000Z,1545189217352880128,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
56,56,2022-07-07T23:30:07.000Z,1545188444225146881,@AmericanAir exactly how long does it take to get a refund for a trip you left me stranded on? @PeteButtigieg says I’m entitled to an immediate refund. Your customer service will not provide info. Stop holding our $ hostage!,Negative,0.9187975525856018
57,57,2022-07-07T23:29:07.000Z,1545188190155571201,@AmericanAir Also we do not have assigned seats for 3 people out of 5 people. What does that mean m,Negative,0.6887944340705872
58,58,2022-07-07T23:25:37.000Z,1545187311222136833,@AmericanAir fuck you!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Negative,0.8234895467758179
59,59,2022-07-07T23:25:34.000Z,1545187297305452546,I should've been in MX with a margarita and in the pool but here are are at 6:25 @AmericanAir https://t.co/URhpOMo2Fw,Neutral,0.6751425862312317
60,60,2022-07-07T23:24:56.000Z,1545187136143388672,@saintbonnicles @AmericanAir @lisaehughes File à complaint with Dot. Also with the regulator CAA in the UK.,Negative,0.5429238080978394
61,61,2022-07-07T23:22:50.000Z,1545186610626560001,@matt_miles8 @Shennanigans15 @BostonLogan How are people supposed to put up with the inevitable delays my good friends at @Delta @JetBlue @AmericanAir are about to serve up if @BostonLogan isn’t serving up some cold beers and tasty food ?!?!,Negative,0.7873877882957458
62,62,2022-07-07T23:22:46.000Z,1545186591827808259,@tara_garvin11 @AmericanAir Prayers and so scary so wrong. 🙏,Negative,0.913771390914917
63,63,2022-07-07T23:21:51.000Z,1545186362563121152,Yo @AmericanAir it’s taken over an hour to get my checked baggage here in @iflymia and I’ve missed my meeting and still haven’t got it! Wtf!!!! 😡😡😡,Negative,0.9203733205795288
64,64,2022-07-07T23:21:42.000Z,1545186322125672449,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
65,65,2022-07-07T23:20:37.000Z,1545186053535027205,RT @tazBmore: @NoboastbutJesus @NicoleGun09 @DubuqueAirport @CityOfDubuque @ChuckGrassley @SenJoniErnst @POTUS @AmericanAir That’s the new…,Neutral,0.6363031268119812
66,66,2022-07-07T23:20:32.000Z,1545186031980277761,RT @OldHob1: @NoboastbutJesus @Heebeejeebeez1 @DubuqueAirport @CityOfDubuque @ChuckGrassley @SenJoniErnst @POTUS @AmericanAir Gotta fly dru…,Neutral,0.5060067772865295
67,67,2022-07-07T23:18:46.000Z,1545185585182162944,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
68,68,2022-07-07T23:18:04.000Z,1545185409122021376,"@TheDabbingRaver @AmericanAir Preach, I’ve learned my lesson lol",Positive,0.7062130570411682
69,69,2022-07-07T23:17:46.000Z,1545185335562616832,@NoboastbutJesus @NicoleGun09 @DubuqueAirport @CityOfDubuque @ChuckGrassley @SenJoniErnst @POTUS @AmericanAir That’s the new drop off point for the illegals in the Midwest,Negative,0.5714775919914246
70,70,2022-07-07T23:17:06.000Z,1545185167718764545,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
71,71,2022-07-07T23:17:05.000Z,1545185161444298752,@_ZachGriff @AmericanAir It’s a bummer their planes always look so drab,Negative,0.9575624465942383
72,72,2022-07-07T23:15:59.000Z,1545184885803200512,@AmericanAir please help me.. I bought basic economy tickets (first mistake) for our honeymoon in greece and booked the wrong date (second HUGE mistake).. we’re both in medicine and only allowed a certain amount of time off 😭😭😭🆘🆘🆘🛟🛟🛟,Negative,0.8819331526756287
73,73,2022-07-07T23:15:15.000Z,1545184700649443328,@EmmyRae03 @AmericanAir I only fly southwest,Neutral,0.8444193601608276
74,74,2022-07-07T23:15:09.000Z,1545184675639005188,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
75,75,2022-07-07T23:13:25.000Z,1545184240408600578,@AmericanAir Can you turn the AC on on AA2551 and/or pass out free cold beer,Neutral,0.7216683626174927
76,76,2022-07-07T23:12:55.000Z,1545184115217113090,@NoboastbutJesus @NicoleGun09 @DubuqueAirport @CityOfDubuque @ChuckGrassley @SenJoniErnst @POTUS @AmericanAir FJB,Neutral,0.6049969792366028
77,77,2022-07-07T23:12:14.000Z,1545183939727396866,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
78,78,2022-07-07T23:11:41.000Z,1545183804624609292,"It doesn’t get more exclusive (commercially, of course) than @AmericanAir’s posh Airbus A321T first class to L.A.

Spacious product, excellent amenities and personalized service! https://t.co/kyb8Od8HYd",Positive,0.8575385212898254
79,79,2022-07-07T23:11:18.000Z,1545183706138419200,@NoboastbutJesus @PepetheBaker @DubuqueAirport @CityOfDubuque @ChuckGrassley @SenJoniErnst @POTUS @AmericanAir And trafficked children.,Negative,0.7761762142181396
80,80,2022-07-07T23:11:16.000Z,1545183700135989248,Hey @AmericanAir any reason why flight as2160 on 7/7 is delayed 8hrs 10 minutes?,Negative,0.5805670619010925
81,81,2022-07-07T23:11:14.000Z,1545183689339961345,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
82,82,2022-07-07T23:06:55.000Z,1545182601685733378,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
83,83,2022-07-07T23:05:03.000Z,1545182134939357190,@alickta @AmericanAir And not worried about the 800 we spend on the hotel room in Vegas @AmericanAir https://t.co/h8FsKBK4Re,Neutral,0.7079570293426514
84,84,2022-07-07T23:04:55.000Z,1545182100856668160,@EmmyRae03 @AmericanAir 😵‍💫,Neutral,0.613975465297699
85,85,2022-07-07T23:04:19.000Z,1545181950029139969,@AmericanAir I have sent the DM and await an appropriate response,Neutral,0.790643572807312
86,86,2022-07-07T23:04:14.000Z,1545181928608899073,@alickta @AmericanAir In Vegas @AmericanAir,Neutral,0.9240488409996033
87,87,2022-07-07T23:04:00.000Z,1545181871725838337,"@alickta @AmericanAir Exactly, they don’t care.. even when it’s their own fault, they will just say “that’s all we can do” never again #ducttapegate took them 45 mins and delayed our connecting flight and said we can just give you a hotel voucher.. not caring that we might miss our cousins wedding https://t.co/lLCtlznJcV",Negative,0.7261843085289001
88,88,2022-07-07T23:03:39.000Z,1545181782764552199,"RT @thamuffingal: 8 hour flight with a 2 year old on @AmericanAir :TVs broken. They lost our stroller, it was a connecting flight. They los…",Negative,0.8790927529335022
89,89,2022-07-07T23:03:25.000Z,1545181723121504256,"Update- after the DM exchange, they said I should buy a new seat and they would refund me for the other one. So I did, sent them the receipt- and they literally said ‘after doing some digging, it turns out we can’t do that’ LOLLL you cannot make this shit up @AmericanAir  👎🏻 https://t.co/Phuzr9rf5N",Negative,0.7611336708068848
90,90,2022-07-07T23:03:25.000Z,1545181721276125190,@AmericanAir dudes is trash. Third flight in a row where my bags is delayed or lost.,Negative,0.9494678974151611
91,91,2022-07-07T23:02:38.000Z,1545181526077444096,@jakesing_ @AmericanAir It's quite impressive in a way. Such a humble non-apology,Positive,0.7207383513450623
92,92,2022-07-07T23:02:08.000Z,1545181400952762368,@MarshaCollier @AmericanAir Is she single? 😉,Neutral,0.7462493181228638
93,93,2022-07-07T23:00:06.000Z,1545180887935066114,Never flying American Airlines EVER again. @AmericanAir YALL 🗑,Negative,0.8697291612625122
94,94,2022-07-07T22:59:53.000Z,1545180832180178947,"More fun from @AmericanAir , get to go to B13 from C13. At least we don’t have to run this time…probably shouldn’t have last time. #YouAreWhyWeFly_ThenLetUsBoard #LongDay https://t.co/iYJ3WCy1Pj",Positive,0.6449208855628967
95,95,2022-07-07T22:59:38.000Z,1545180772700753920,"8 hour flight with a 2 year old on @AmericanAir :TVs broken. They lost our stroller, it was a connecting flight. They lost all checked bags. @AmericanAir gave us 2,000 flyer miles each, for a cumulative total of 6,000 miles.
What happened to REAL compensation? Travel vouchers?",Negative,0.9149017333984375
96,96,2022-07-07T22:56:11.000Z,1545179901849845760,NEVER fly @AmericanAir ever! https://t.co/46YopcZVqm,Negative,0.5138347148895264
97,97,2022-07-07T22:54:13.000Z,1545179406875893763,@carolinehhall @AmericanAir Or just avoid Richard at the @AmericanAir counter.,Negative,0.617312490940094
98,98,2022-07-07T22:51:29.000Z,1545178718913662976,This took @AmericanAir 45 mins and they have the audacity to be rude on the phone https://t.co/UjpMW9RnL3,Negative,0.8724668025970459
99,99,2022-07-07T22:50:39.000Z,1545178508309270529,@AmericanAir @TSA @DFWAirport #ducttapegate on am air,Neutral,0.8719949722290039
100,100,2022-07-07T22:50:23.000Z,1545178442144047104,@AmericanAir No that’s what I mean by #ducttapegate,Neutral,0.7736489176750183
101,101,2022-07-07T22:50:15.000Z,1545178407528370176,So @AmericanAir can you explain how changing a flight from LAX to JFK will cost me $4000 more to change to MIA to JFK when I can book it for $116 now… are you fucking DUMB?! After this Italy trip I’m NEVER flying with y’all again.,Negative,0.928989589214325
102,102,2022-07-07T22:49:20.000Z,1545178177252872192,"Don’t fly @AmericanAir 

#ducktapegate",Negative,0.84770667552948
103,103,2022-07-07T22:48:55.000Z,1545178072802025472,"@AmericanAir flight AA 3635 

Never flying with y’all again, the agent named Christine from AmAir was super rude to me and my sister in law on the phone",Negative,0.9259502291679382
104,104,2022-07-07T22:48:55.000Z,1545178072063905794,"@AmericanAir @JTGenter Pretty light response here @AmericanAir You might want to take a second and review JTs posts. He's a bit of an influencer when it comes to air travel, esp on your brand. Doesn't necessarily mean he's xtra special, but he's got a hella voice. I seriously listen to him.",Positive,0.6325159668922424
105,105,2022-07-07T22:48:38.000Z,1545178004250312704,@AmericanAir you left us stranded in another country forcing us to buy a 1200 ticket to get home it $1375 to buy a billboard ad next to our airport I think might double down for American Airlines leaving people stranded since 1926,Negative,0.9286572933197021
106,106,2022-07-07T22:47:44.000Z,1545177775266488323,@AmericanAir There was at least 15 empty seats so I can’t understand how they estimated that.,Negative,0.6452947854995728
107,107,2022-07-07T22:47:34.000Z,1545177733734567942,"@AmericanAir Here's six letters: eat ass

You aren't competent enough to resolve the situation. You've been fired",Negative,0.9165961146354675
108,108,2022-07-07T22:47:03.000Z,1545177605468561409,@MoonPigMerch @WestJet @AirCanada @AirChinaNA that’s a good question @Delta @AmericanAir @JetBlue @SpiritAirlines @SouthwestAir,Neutral,0.6424223780632019
109,109,2022-07-07T22:46:46.000Z,1545177533905354753,@AmericanAir they took 45 mins to duck tape a armrest on a seat,Negative,0.5241782665252686
110,110,2022-07-07T22:46:18.000Z,1545177417102278658,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
111,111,2022-07-07T22:45:51.000Z,1545177300873920512,"volar con @AmericanAir es una puta pesadilla, nos traen de sus pendejos con cambios de puerta y terminal cada 15 minutos, para terminar con el vuelo cancelado 2 veces, y con ninguna compensación o tan siquiera una pinche disculpa. Esto es una burla totalmente.",Negative,0.9671016931533813
112,112,2022-07-07T22:45:35.000Z,1545177235149266946,"@DrKate4Kids @FuturaPluto @SecretaryPete @CDCgov @CDCDirector @Delta @AmericanAir You are not worthy of your MD if you haven’t reviewed and understand from +150 publications that not only do MASKS NOT WORK, they INJURE YOU!",Negative,0.8922871351242065
113,113,2022-07-07T22:45:00.000Z,1545177089174896641,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
114,114,2022-07-07T22:41:57.000Z,1545176319566221319,"@whitej125 @kylascan @AmericanAir That is poo. I rebooked onto the same flight 24 hours later, which I guess isn’t as bad as it could have been, but was certainly inconvenient.",Negative,0.8985294699668884
115,115,2022-07-07T22:41:09.000Z,1545176120374530048,"Question for @ASTAadvisors. After offering to assist with an issue concerning a code-share partner for my @AmericanAir ticket,  AA then told me they were powerless to to do anything because I had used a travel agent. Why use travel agents?",Negative,0.6442430019378662
116,116,2022-07-07T22:38:53.000Z,1545175548254633984,"Every flight I've taken since 2017 has been on @AmericanAir. I really like your pilots and flight attendants. I really like your airplanes. At most airports, y'all are brilliant. I wish your gate agents at PHL could be nice once in while.",Positive,0.8542641997337341
117,117,2022-07-07T22:38:44.000Z,1545175512737259521,"@americanair I am the supportive customer who is polite when my flight is a bit late, understand the staffing issues etc. Today in spite of booking my seat ahead  you changed my seat POORLY, without asking, with no apologies. Former Conceirge key, current 1K, future United 100%",Positive,0.37316635251045227
118,118,2022-07-07T22:37:50.000Z,1545175284521078784,RT @NodeBaron: Hundreds of @AmericanAir flights canceled in Miami. Road trip? Heck yeah! https://t.co/TOY6naUHyt,Negative,0.8579279184341431
119,119,2022-07-07T22:37:44.000Z,1545175258461880322,RT @NodeBaron: Shoutout to the amazing Rebooking agents with @AmericanAir in Miami. Hundreds of passengers were left stranded in the termin…,Positive,0.8090834021568298
120,120,2022-07-07T22:37:26.000Z,1545175184025554944,"I only have 2 questions;
1.  Why does a fairly new terminal need work?
2.  When @AmericanAir stops service are we going to get an airline who will fly out of here?

Thank you  @SenJoniErnst @iowademocrats @KimReynoldsIA @RepCindyAxne 

1.3 million for an empty airport seems silly https://t.co/33VwwNyotK",Negative,0.876583456993103
121,121,2022-07-07T22:36:32.000Z,1545174959260979202,@AmericanAir In this terrible economy you are LUCKY people are flying your airline in the first place and then you pull this kind of nonsense with your loyal customers?! Never again!!! #AmericanAirlines #boycottamericanair #cheap #avoidamericanair #unacceptable,Negative,0.9445518255233765
122,122,2022-07-07T22:35:41.000Z,1545174744416526336,"@kylascan @jakesing_ @AmericanAir Like make people pay , but cancel the flight to make the books look good for that quarter ?",Negative,0.5019614100456238
123,123,2022-07-07T22:34:38.000Z,1545174481408299010,@1DEEBOST @AmericanAir give my bro some medical for his jet lag 😡,Negative,0.8874993324279785
124,124,2022-07-07T22:34:23.000Z,1545174414810963968,"@AmericanAir How is this acceptable?! YOUR own people told us to file an online complaint and we would receive a hotel voucher. We spent over $300 to extend our hotel stay because YOU canceled our flight, WHY IS THAT OUR FAULT?! Disgusting and UNACCEPTABLE. DO BETTER!!!",Negative,0.9583357572555542
125,125,2022-07-07T22:33:54.000Z,1545174294841393153,Once again @AmericanAir customer support rocks! Thanks to Tina for her patience &amp; professionalism &amp; getting my reservations straightened out. The AA team is awesome!,Positive,0.933102548122406
126,126,2022-07-07T22:33:03.000Z,1545174082580189184,"@AmericanAir What kind of customer service crap show are you running?! Our flight was cancelled. We had to extend our hotel stay. Your call center promised us a hotel voucher if we filed an online complaint and now all we hear back, “We will do better next time”. No reimbursement",Negative,0.9296660423278809
127,127,2022-07-07T22:31:56.000Z,1545173799448055808,@jakesing_ @AmericanAir Funny because I got the same exact email response from Marriott after a disappointing stay and I pointed it out by filling out their survey. It seems like these services companies don’t seem to care about customer service,Negative,0.8863479495048523
128,128,2022-07-07T22:29:39.000Z,1545173223465172993,"#Houston, Texas to San Pedro Sula, Honduras for only $231 roundtrip with @AmericanAir #Travel (Sep-Nov dates)

https://t.co/pPVXiaZF5S https://t.co/uDElGjzY7w",Neutral,0.8693633079528809
